"date","plot","treatment","plant","BRIX","mass"
2015-06-02,"WSR10","C","WSR10-9",3,0.0572945454545455
2015-06-02,"WSR10","C","WSR10-1",7,0.0352472727272727
2015-06-02,"WSR10","C","WSR10-1",14,0.0778781818181818
2015-06-02,"WSR10","C","WSR10-9",17,0.066
2015-06-02,"WHSR9","H","WHSR9-1",23,0.191854545454545
2015-06-02,"WHSR9","H","WHSR9-2",27,0.136538181818182
2015-06-03,"CH5","H","CH5-7",18,0.147381818181818
2015-06-03,"CC6","C","CC6-9",19,0.0966727272727273
2015-06-03,"CH5","H","CH5-7",20,0.0353781818181818
2015-06-03,"CH5","H","CH5-5",20,0.117927272727273
2015-06-03,"CC6","C","CC6-9",21,0.11336
2015-06-03,"CC6","C","CC6-9",24,0.139094545454545
2015-06-03,"CHSR8","H","CHSR8-2",24,0.0431672727272727
2015-06-03,"CC6","C","CC6-9",25,0.167621818181818
2015-06-03,"CHSR8","H","CHSR8-4",26,0.0157145454545455
2015-06-03,"CC6","C","CC6-9",26,0.167621818181818
2015-06-03,"CHSR8","H","CHSR8-2",26,0.0628581818181818
2015-06-03,"CH5","H","CH5-6",26,0.0209527272727273
2015-06-03,"CH5","H","CH5-6",28,0.153605454545455
2015-06-03,"CH5","H","CH5-7",30,0.0553254545454545
2015-06-03,"CHSR8","H","CHSR8-4",36,0.0454036363636364
2015-06-03,"CHSR8","H","CHSR8-6",41,0.0543709090909091
2015-06-03,"CHSR8","H","CHSR8-6",45,0.0404072727272727
2015-06-06,"EHSR1","H","EHSR1-2",14,0.179925454545455
2015-06-06,"EH4","H","EH4-6",16,0.160916363636364
2015-06-06,"EC3","C","EC3-3",18,0.157909090909091
2015-06-06,"EHSR1","H","EHSR1-2",20,0.0943418181818182
2015-06-06,"ESR2","C","ESR2-8",21,0.17004
2015-06-06,"EH4","H","EH4-6",21,0.10464
2015-06-06,"EHSR1","H","EHSR1-2",22,0.07412
2015-06-06,"EH4","H","EH4-5",22,0.54064
2015-06-06,"EHSR1","H","EHSR1-2",23,0.249410909090909
2015-06-06,"EH4","H","EH4-3",26,0.40334
2015-06-06,"ESR2","C","ESR2-8",28,0.12516
2015-06-06,"EH4","H","EH4-7",35,0.0454036363636364
2015-06-08,"WC11","C","WC11-4",8,0.0254690909090909
2015-06-08,"CSR7","C","CSR7-9",13,0.0447054545454545
2015-06-08,"CH5","H","CH5-6",14,0.0322254545454545
2015-06-08,"WSR10","C","WSR10-1",16,0.0216618181818182
2015-06-08,"CH5","H","CH5-6",17,0.0693
2015-06-08,"WHSR9","H","WHSR9-1",17,0.0924
2015-06-08,"CH5","H","CH5-6",17,0.1089
2015-06-08,"CHSR8","H","CHSR8-4",18,0.122818181818182
2015-06-08,"WHSR9","H","WHSR9-4",19,0.0483363636363636
2015-06-08,"CC6","C","CC6-5",21,0.10028
2015-06-08,"WSR10","C","WSR10-1",24,0.0479636363636364
2015-06-08,"WHSR9","H","WHSR9-3",24,0.0239818181818182
2015-06-08,"CHSR8","H","CHSR8-6",26,0.0838109090909091
2015-06-08,"WC11","C","WC11-3",26,0.0890490909090909
2015-06-08,"CC6","C","CC6-10",27,0.301521818181818
2015-06-08,"WC11","C","WC11-3",27,0.0682690909090909
2015-06-08,"CHSR8","H","CHSR8-4",27,0.199118181818182
2015-06-08,"WHSR9","H","WHSR9-1",35,0.0756727272727273
2015-06-08,"CHSR8","H","CHSR8-6",37,0.00805818181818182
2015-06-08,"CHSR8","H","CHSR8-2",41,0.108741818181818
2015-06-10,"EHSR1","H","EHSR1-2",17,0.0198
2015-06-10,"EH4","H","EH4-5",23,0.129501818181818
2015-06-10,"ESR2","C","ESR2-8",23,0.143890909090909
2015-06-10,"EH4","H","EH4-5",24,0.2638
2015-06-10,"ESR2","C","ESR2-2",24,0.129501818181818
2015-06-10,"EH4","H","EH4-6",25,0.0785727272727273
2015-06-10,"EC3","C","EC3-8",33,0.212618181818182
2015-06-10,"EHSR1","H","EHSR1-2",34,0.0425236363636364
2015-06-11,"CC6","C","CC6-9",1,0.00218181818181818
2015-06-11,"CC6","C","CC6-9",2,0.0771109090909091
2015-06-11,"CSR7","C","CSR7-9",3,0.0258927272727273
2015-06-11,"CH5","H","CH5-6",3,0.0291981818181818
2015-06-11,"CC6","C","CC6-9",3,0.0303
2015-06-11,"CH5","H","CH5-5",5,0.0157327272727273
2015-06-11,"CC6","C","CC6-9",6,0.00334363636363636
2015-06-11,"CC6","C","CC6-9",7,0.0117490909090909
2015-06-11,"CH5","H","CH5-5",7,0.285894545454545
2015-06-11,"CH5","H","CH5-6",8,0.0809018181818182
2015-06-11,"CH5","H","CH5-2",10,0.04152
2015-06-11,"CSR7","C","CSR7-9",10,0.149094545454545
2015-06-11,"CHSR8","H","CHSR8-6",12,0.0707927272727273
2015-06-11,"CH5","H","CH5-2",15,0.130009090909091
2015-06-11,"CHSR8","H","CHSR8-4",22,0.21364
2015-06-11,"CHSR8","H","CHSR8-4",22,0.10028
2015-06-11,"CHSR8","H","CHSR8-4",22,0.218
2015-06-11,"CHSR8","H","CHSR8-2",29,0.20286
2015-06-11,"CHSR8","H","CHSR8-6",42,0.108741818181818
2015-06-11,"CH5","H","CH5-7",45,0.0606109090909091
2015-06-12,"WHSR9","H","WHSR9-3",32,0.0396763636363636
2015-06-12,"WHSR9","H","WHSR9-1",32,0.0264509090909091
2015-06-13,"EH4","H","EH4-6",48,0.0212690909090909
