plot,treatment,plantid,2015,2016
CC6,C,CC6-1,0,6
CC6,C,CC6-10,1,8
CC6,C,CC6-9,10,4
CH5,H,CH5-2,3,8
CH5,H,CH5-3,0,7
CH5,H,CH5-4,1,10
CH5,H,CH5-5,2,5
CH5,H,CH5-6,4,12
CH5,H,CH5-7,11,17
CHSR8,H,CHSR8-1,0,4
CHSR8,H,CHSR8-2,8,8
CHSR8,H,CHSR8-4,24,48
CHSR8,H,CHSR8-5,0,8
CHSR8,H,CHSR8-6,7,8
CSR7,C,CSR7-1,0,5
CSR7,C,CSR7-3,0,3
CSR7,C,CSR7-5,0,2
CSR7,C,CSR7-6,0,1
CSR7,C,CSR7-8,0,2
CSR7,C,CSR7-9,2,15
EC3,C,EC3-1,0,2
EC3,C,EC3-3,1,4
EC3,C,EC3-8,1,0
EH4,H,EH4-3,3,18
EH4,H,EH4-4,1,12
EH4,H,EH4-5,6,2
EH4,H,EH4-6,14,14
EH4,H,EH4-7,1,3
EH4,H,EH4-8,4,5
EH4,H,EH4-9,0,3
EH4,H,EH4-11,0,2
EHSR1,H,EHSR1-1,0,20
EHSR1,H,EHSR1-2,7,16
EHSR1,H,EHSR1-4,0,1
EHSR1,H,EHSR1-5,0,6
ESR2,C,ESR2-2,3,5
ESR2,C,ESR2-3,0,3
ESR2,C,ESR2-4,3,9
ESR2,C,ESR2-6,3,1
ESR2,C,ESR2-8,11,0
ESR2,C,ESR2-11,0,1
WC11,C,WC11-1,1,1
WC11,C,WC11-2,0,2
WC11,C,WC11-3,3,4
WC11,C,WC11-4,1,1
WC11,C,WC11-5,0,2
WC11,C,WC11-7,2,3
WHSR9,H,WHSR9-1,2,10
WHSR9,H,WHSR9-2,2,15
WHSR9,H,WHSR9-3,17,8
WHSR9,H,WHSR9-4,2,6
WSR10,C,WSR10-1,2,17
WSR10,C,WSR10-3,0,2
WSR10,C,WSR10-7,1,11
WSR10,C,WSR10-9,2,1
